purchase_month,delivered_orders,late_delivery_rate,late_dispatch_rate,avg_approval_to_carrier_days,avg_carrier_to_delivery_days,avg_purchase_to_delivery_days,avg_review_score,interstate_share,on_time_delivery_rate
2016-09,1,1.0,1.0,53.20503472222222,1.6081597222222221,54.81319444444444,1.0,1.0,0.0
2016-10,262,0.007633587786259542,0.48854961832061067,13.079478062270287,5.914793102210738,19.72901121183206,4.027027027027027,0.6793893129770993,0.9923664122137404
2016-12,1,0.0,0.0,3.2797453703703705,1.402974537037037,4.693020833333334,5.0,0.0,1.0
2017-01,746,0.029490616621983913,0.22117962466487937,2.915033462141577,9.234111728601928,12.655931821566876,4.201492537313433,0.6863270777479893,0.9705093833780161
2017-02,1641,0.029859841560024376,0.17428397318708105,3.2258327005983256,9.575570500993072,13.193812602974699,4.2109135499693435,0.6873857404021938,0.9701401584399756
2017-03,2541,0.045651318378591106,0.06690279417552145,2.8564249274855333,9.84694590202166,12.954732853426034,4.190126883425853,0.6973632428177883,0.9543486816214088
2017-04,2285,0.06564551422319474,0.07177242888402625,3.1713782515930347,11.258093357443878,14.930384117432533,4.143485915492958,0.6936542669584245,0.9343544857768052
2017-05,3513,0.03017364076288073,0.07258753202391119,2.5816715622452975,8.368793884619034,11.350323293244141,4.242754662840746,0.681753487048107,0.9698263592371192
2017-06,3110,0.03054662379421222,0.07781350482315112,2.7396133528892705,8.907058156931047,12.031276560825294,4.232426303854876,0.6569131832797428,0.9694533762057878
2017-07,3808,0.028361344537815126,0.07668067226890757,2.7119774097784424,8.554960752095978,11.651192096196116,4.276689606493735,0.6583508403361344,0.9716386554621849
2017-08,4135,0.029262394195888754,0.06844014510278114,2.7117018564434052,8.128430312038157,11.223447836893726,4.324001947419669,0.6548972188633615,0.9707376058041113
2017-09,4106,0.04432537749634681,0.07259439707673569,2.7926052525314224,8.661092166847116,11.88106212284191,4.281472392638037,0.6804676083779835,0.9556746225036532
2017-10,4414,0.04236520163117354,0.0795197100135931,3.0751912816333555,8.441409055677223,11.909508114962494,4.225581926061159,0.671273221567739,0.9576347983688265
2017-11,7195,0.12536483669214732,0.12967338429464906,3.6340108446210317,11.127997691619695,15.212168558412477,4.01035689293212,0.6639332870048645,0.8746351633078526
2017-12,5454,0.0748074807480748,0.10982764943160983,3.288191742623519,11.690885754084666,15.425404975875676,4.1023694927804515,0.6371470480381372,0.9251925192519252
2018-01,6967,0.057844122290799486,0.10262666858045069,3.2073260204789262,10.512537886943209,14.131911162544057,4.134601475480978,0.6420266972872112,0.9421558777092005
2018-02,6505,0.14219830899308225,0.12282859338970023,3.1750104296792556,13.413212005722094,16.984957253323653,3.8930525446474653,0.6751729438893159,0.8578016910069177
2018-03,6913,0.19152321712715176,0.08621437870678432,2.993407554113946,13.014101448023316,16.361468894487572,3.8305875492054233,0.6311297555330536,0.8084767828728483
2018-04,6670,0.045877061469265366,0.06086956521739131,2.3999256899978247,8.709888283288912,11.552490185462823,4.233851494114096,0.6092953523238381,0.9541229385307346
2018-05,6641,0.06655624152989008,0.066405661797922,2.348392161315308,8.756612036200483,11.453434622602575,4.2592956469165655,0.5946393615419364,0.93344375847011
2018-06,5989,0.011855067623977292,0.06829186842544666,2.2611355312438866,6.696346498286983,9.26696794818278,4.324673147837747,0.6132910335615295,0.9881449323760227
2018-07,6059,0.03432909721076085,0.09093909886119822,2.6302649104523312,6.152332062267335,8.99158915723778,4.33543673198273,0.6225449744182209,0.9656709027892392
2018-08,6239,0.06299086392050009,0.0921622054816477,2.214547157299077,5.217998601612913,7.747473045152059,4.338292055323255,0.5508895656355185,0.9370091360794999
